OBJECTID,SOIL_ID,PROVINCE,SOIL_CODE,MODIFIER,PROFILE,LAYER_NO,UDEPTH,LDEPTH,HZN_LIT,HZN_MAS,HZN_SUF,HZN_MOD,COFRAG,DOMSAND,VFSAND,TSAND,TSILT,TCLAY,ORGCARB,PHCA,PH2,BASES,CEC,KSAT,KP0,KP10,KP33,KP1500,BD,EC,CACO3,VONPOST,WOOD
1,ABABCgl~~~N,AB,ABC,gl~~~,N,1,-5,0, ,LH, , ,0,-,-9,-9,-9,-9,40.0000000,5.8000002,6.4000001,83,70,30.0000000,80,60,-9,20,0.1000000,0,0,4,5
2,ABABCgl~~~N,AB,ABC,gl~~~,N,2,0,13, ,A,e, ,5,F,13,50,39,11,0.3000000,5.3000002,5.9000001,74,5,10.0000000,49,-9,18,8,1.3500000,0,0,-9,-9
3,ABABCgl~~~N,AB,ABC,gl~~~,N,3,13,23, ,AB, , ,5,F,11,43,29,28,0.4000000,4.6999998,5.1999998,74,13,10.0000000,45,-9,28,15,1.4500000,0,0,-9,-9
4,ABABCgl~~~N,AB,ABC,gl~~~,N,4,23,58, ,B,tgj,1,5,F,10,41,27,32,0.4000000,4.3000002,4.9000001,96,15,3.0000000,42,-9,36,22,1.5500000,0,0,-9,-9
5,ABABCgl~~~N,AB,ABC,gl~~~,N,5,58,91, ,B,tgj,2,5,F,11,42,28,30,0.4000000,4.9000001,5.4000001,83,18,3.0000000,42,-9,35,21,1.5500000,0,0,-9,-9
6,ABABCgl~~~N,AB,ABC,gl~~~,N,6,91,120, ,BC,g, ,5,F,12,43,29,28,0.5000000,5.5000000,6.0000000,92,17,3.0000000,45,-9,32,19,1.4500000,0,0,-9,-9
7,ABABCgl~~~N,AB,ABC,gl~~~,N,7,120,160, ,C,kg, ,5,F,11,40,30,30,0.0000000,6.5000000,7.0000000,99,14,1.0000000,45,-9,34,20,1.4500000,0,4,-9,-9
8,ABABCst~~~A,AB,ABC,st~~~,A,1,0,18, ,A,p, ,20,F,12,45,35,20,1.5000000,5.0000000,5.5000000,74,18,10.0000000,53,-9,27,15,1.2500000,0,0,-9,-9
9,ABABCst~~~A,AB,ABC,st~~~,A,2,18,23, ,AB, , ,20,F,11,43,29,28,0.4000000,4.5999999,5.1999998,74,13,10.0000000,45,-9,28,15,1.4500000,0,0,-9,-9
10,ABABCst~~~A,AB,ABC,st~~~,A,3,23,58, ,B,t,1,15,F,10,41,27,32,0.4000000,4.3000002,4.9000001,96,15,3.0000000,42,-9,36,22,1.5500000,0,0,-9,-9
11,ABABCst~~~A,AB,ABC,st~~~,A,4,58,91, ,B,t,2,15,F,11,42,28,30,0.4000000,4.8000002,5.4000001,83,18,3.0000000,42,-9,35,21,1.5500000,0,0,-9,-9
12,ABABCst~~~A,AB,ABC,st~~~,A,5,91,120, ,BC, , ,15,F,12,43,29,28,0.0000000,5.4000001,6.0000000,92,17,3.0000000,45,-9,32,19,1.4500000,0,0,-9,-9
13,ABABCst~~~A,AB,ABC,st~~~,A,6,120,160, ,C,k, ,10,F,11,40,30,30,0.0000000,6.5000000,7.0000000,99,14,1.0000000,45,-9,34,20,1.4500000,0,4,-9,-9
