,year,month,day,Precipitation,Tmax,Tmin,RHmax,RHmin,V_wind
1,2020,5,1,11.5,5.8,2.7,100,84,11.5833333333333
2,2020,5,2,0,12.9,1.6,89,39,11.0833333333333
3,2020,5,3,4.2,5.9,0.9,99,74,6.70833333333333
4,2020,5,4,0.2,7.3,2.3,95,57,20.9583333333333
5,2020,5,5,0,10.1,-0.2,90,48,17.4583333333333
6,2020,5,6,0,10,-1.2,78,26,15.7916666666667
7,2020,5,7,0.7,11.2,-2.5,93,31,14.875
8,2020,5,8,1,3.5,-4.2,94,45,19.5416666666667
9,2020,5,9,0.3,3.1,-5.5,85,61,19.2916666666667
10,2020,5,10,0,5.5,-1.8,83,58,27
11,2020,5,11,0,2.7,-3.6,72,33,20.0416666666667
12,2020,5,12,0,4.4,-6.2,69,32,15.875
13,2020,5,13,0,8.9,-6,79,22,18.3333333333333
14,2020,5,14,0,16.1,-2.2,63,13,9.95833333333333
15,2020,5,15,0,14.4,2.4,77,36,7.16666666666667
16,2020,5,16,0,19.1,3.7,81,25,13.9166666666667
17,2020,5,17,0,13.1,1.3,85,18,16.6666666666667
18,2020,5,18,0,13.6,-1,63,21,17.0416666666667
19,2020,5,19,0,18.1,-1.1,75,22,6.25
20,2020,5,20,0,24,-0.7,88,17,8.66666666666667
21,2020,5,21,0,27.3,6.9,68,19,20.9583333333333
22,2020,5,22,0,19.4,7.3,75,15,17.875
23,2020,5,23,0,15,0.9,73,25,8.5
24,2020,5,24,0,26.3,-0.6,85,20,12.75
25,2020,5,25,0,19,12.4,95,36,9.95833333333333
26,2020,5,26,0.8,22,14.1,99,78,6.70833333333333
27,2020,5,27,0,29.6,14.6,95,58,10.0833333333333
28,2020,5,28,0,31.3,16.5,100,39,13.375
29,2020,5,29,0.7,25.6,12.1,98,65,19.5
30,2020,5,30,0,11.8,5.1,94,65,21.5416666666667
31,2020,5,31,0,8.6,2,86,44,18.3333333333333
32,2020,6,1,0,11.8,1.3,91,39,8.66666666666667
33,2020,6,2,0,16.8,-0.2,92,36,6.70833333333333
34,2020,6,3,0,17,3.3,83,25,15
35,2020,6,4,0,18.8,7.4,80,36,22.0416666666667
36,2020,6,5,0,20,10.1,91,44,11.4166666666667
37,2020,6,6,0,16.5,8,96,58,9.04166666666667
38,2020,6,7,0,16.9,6.3,80,44,15
39,2020,6,8,0,18.5,4.1,89,31,15.9166666666667
40,2020,6,9,0,20.2,7.3,73,24,11.75
41,2020,6,10,0.7,23.4,3.5,96,40,16.1666666666667
42,2020,6,11,0,25.8,13.5,94,42,27.5
43,2020,6,12,0,16.9,7.7,78,49,19.5416666666667
44,2020,6,13,0,15.4,5.9,83,37,14.4166666666667
45,2020,6,14,0,18.3,1.5,89,35,8.125
46,2020,6,15,0,23.3,2.4,94,28,7.875
47,2020,6,16,0,28.4,7.7,87,27,12.0833333333333
48,2020,6,17,0,30.8,14.6,77,39,11.5
49,2020,6,18,0,33.7,19.4,74,30,16.875
50,2020,6,19,0,33,19.5,62,27,14.7083333333333
51,2020,6,20,0,29.6,17,90,51,8.75
52,2020,6,21,0,31.5,13.2,93,40,10.2083333333333
53,2020,6,22,5.2,29.7,16.7,96,51,8.20833333333333
54,2020,6,23,0.9,29,16,100,59,7.375
55,2020,6,24,12,25.8,17.3,99,50,17.9166666666667
