Date_Heure,Year,Month,Day,Temp_max,Temp_min,Temp_ave,Precipitation_mm
2010-01-01,2010,1,1,-4,-5.6,-4.8,10
2010-01-02,2010,1,2,-2.9,-5.2,-4.1,10.2
2010-01-03,2010,1,3,4,-3.4,0.3,1.2
2010-01-04,2010,1,4,0,-4.9,-2.5,0.7
2010-01-05,2010,1,5,-3,-6.3,-4.7,0.4
2010-01-06,2010,1,6,-1.7,-4.5,-3.1,0
2010-01-07,2010,1,7,-2.1,-9.2,-5.7,0
2010-01-08,2010,1,8,-3.6,-10.5,-7.1,0
2010-01-09,2010,1,9,-9.2,-17,-13.1,0
2010-01-10,2010,1,10,-12.4,-19.6,-16,0.4
2010-01-11,2010,1,11,-5.4,-16.2,-10.8,0.5
2010-01-12,2010,1,12,-9.4,-17,-13.2,0
2010-01-13,2010,1,13,-10.8,-21.5,-16.2,0
2010-01-14,2010,1,14,-5.6,-22.3,-14,2.1
2010-01-15,2010,1,15,1.4,-5.7,-2.2,0
2010-01-16,2010,1,16,1.3,-12.3,-5.5,0.8
2010-01-17,2010,1,17,-6.8,-14.1,-10.5,0
2010-01-18,2010,1,18,-3.8,-6.9,-5.4,0.5
2010-01-19,2010,1,19,-2.8,-4.9,-3.9,1.7
2010-01-20,2010,1,20,-0.7,-6.9,-3.8,0.6
2010-01-21,2010,1,21,-3.4,-9.2,-6.3,0
2010-01-22,2010,1,22,-3.8,-14.6,-9.2,0
2010-01-23,2010,1,23,-6.1,-18.2,-12.2,0
2010-01-24,2010,1,24,-2,-12.7,-7.4,1.2
2010-01-25,2010,1,25,6.5,-2.4,2.1,35
2010-01-26,2010,1,26,3,0.1,1.6,0.8
2010-01-27,2010,1,27,0.4,-8.5,-4.1,2.6
2010-01-28,2010,1,28,-2.7,-10.7,-6.7,2.7
2010-01-29,2010,1,29,-9.2,-17.9,-13.6,2.5
2010-01-30,2010,1,30,-14.9,-21.1,-18,1.3
2010-01-31,2010,1,31,-11.7,-20.5,-16.1,2
2010-02-01,2010,2,1,-12.6,-18.9,-15.8,0.5
2010-02-02,2010,2,2,-14.5,-24.6,-19.6,0
2010-02-03,2010,2,3,-8.2,-22.4,-15.3,0
2010-02-04,2010,2,4,-9.1,-16.1,-12.6,0
2010-02-05,2010,2,5,-9.9,-17.6,-13.8,0
2010-02-06,2010,2,6,-7.3,-19.2,-13.3,0.4
2010-02-07,2010,2,7,-5.5,-11.9,-8.7,0.8
2010-02-08,2010,2,8,-4.7,-8.5,-6.6,0.4
2010-02-09,2010,2,9,-1,-11.6,-6.3,0
2010-02-10,2010,2,10,-3,-14.5,-8.8,0.7
2010-02-11,2010,2,11,-1.4,-7.7,-4.6,0
2010-02-12,2010,2,12,-4.2,-8,-6.1,0
2010-02-13,2010,2,13,-2.7,-7.9,-5.3,0
2010-02-14,2010,2,14,-2.3,-6.1,-4.2,0
2010-02-15,2010,2,15,-3.1,-6.5,-4.8,0.4
2010-02-16,2010,2,16,-0.7,-5.4,-3.1,1.1
2010-02-17,2010,2,17,0.1,-4.5,-2.2,0.4
2010-02-18,2010,2,18,5.5,-2.3,1.6,4
2010-02-19,2010,2,19,2.2,-4.9,-1.4,0.6
