,year,month,day,Precipitation,Tmax,Tmin,RHmax,RHmin,V_wind,julian,ETP
1,2020,5,1,11.5,5.8,2.7,100,84,11.5833333333333,122,1.87836607681639
2,2020,5,2,0,12.9,1.6,89,39,11.0833333333333,123,3.04192361594491
3,2020,5,3,4.2,5.9,0.9,99,74,6.70833333333333,124,2.08514633211446
4,2020,5,4,0.2,7.3,2.3,95,57,20.9583333333333,125,2.19692884514836
5,2020,5,5,0,10.1,-0.2,90,48,17.4583333333333,126,2.83926587921894
6,2020,5,6,0,10,-1.2,78,26,15.7916666666667,127,2.92755226336502
7,2020,5,7,0.7,11.2,-2.5,93,31,14.875,128,3.2327829319753
8,2020,5,8,1,3.5,-4.2,94,45,19.5416666666667,129,2.25365292523882
9,2020,5,9,0.3,3.1,-5.5,85,61,19.2916666666667,130,2.32135738956362
10,2020,5,10,0,5.5,-1.8,83,58,27,131,2.3880915779647
11,2020,5,11,0,2.7,-3.6,72,33,20.0416666666667,132,2.14135085042236
12,2020,5,12,0,4.4,-6.2,69,32,15.875,133,2.62663067421225
13,2020,5,13,0,8.9,-6,79,22,18.3333333333333,134,3.29352662420795
14,2020,5,14,0,16.1,-2.2,63,13,9.95833333333333,135,4.06083438315753
15,2020,5,15,0,14.4,2.4,77,36,7.16666666666667,136,3.44414974193507
16,2020,5,16,0,19.1,3.7,81,25,13.9166666666667,137,4.0481685997683
17,2020,5,17,0,13.1,1.3,85,18,16.6666666666667,138,3.37528696444358
18,2020,5,18,0,13.6,-1,63,21,17.0416666666667,139,3.65570095248923
19,2020,5,19,0,18.1,-1.1,75,22,6.25,140,4.34510678933847
20,2020,5,20,0,24,-0.7,88,17,8.66666666666667,141,5.19980080947298
21,2020,5,21,0,27.3,6.9,68,19,20.9583333333333,142,5.07167945654829
22,2020,5,22,0,19.4,7.3,75,15,17.875,143,3.88313928350202
23,2020,5,23,0,15,0.9,73,25,8.5,144,3.77657695264614
24,2020,5,24,0,26.3,-0.6,85,20,12.75,145,5.58648923574421
25,2020,5,25,0,19,12.4,95,36,9.95833333333333,146,3.43967301407483
26,2020,5,26,0.8,22,14.1,99,78,6.70833333333333,147,3.75472527848211
27,2020,5,27,0,29.6,14.6,95,58,10.0833333333333,148,4.84974312941441
28,2020,5,28,0,31.3,16.5,100,39,13.375,149,4.95492377695221
29,2020,5,29,0.7,25.6,12.1,98,65,19.5,150,4.48736454082613
30,2020,5,30,0,11.8,5.1,94,65,21.5416666666667,151,3.03636285042599
31,2020,5,31,0,8.6,2,86,44,18.3333333333333,152,2.83001624480201
32,2020,6,1,0,11.8,1.3,91,39,8.66666666666667,153,3.37122237265885
33,2020,6,2,0,16.8,-0.2,92,36,6.70833333333333,154,4.24477899234345
34,2020,6,3,0,17,3.3,83,25,15,155,3.99248397182756
35,2020,6,4,0,18.8,7.4,80,36,22.0416666666667,156,3.92673528868567
36,2020,6,5,0,20,10.1,91,44,11.4166666666667,157,3.88793103006924
37,2020,6,6,0,16.5,8,96,58,9.04166666666667,158,3.55146939267784
38,2020,6,7,0,16.9,6.3,80,44,15,159,3.7585486827281
39,2020,6,8,0,18.5,4.1,89,31,15.9166666666667,160,4.18426731592089
40,2020,6,9,0,20.2,7.3,73,24,11.75,161,4.17612381740765
41,2020,6,10,0.7,23.4,3.5,96,40,16.1666666666667,162,4.97051682175631
42,2020,6,11,0,25.8,13.5,94,42,27.5,163,4.50064507291739
43,2020,6,12,0,16.9,7.7,78,49,19.5416666666667,164,3.66930742419082
44,2020,6,13,0,15.4,5.9,83,37,14.4166666666667,165,3.60070283819406
45,2020,6,14,0,18.3,1.5,89,35,8.125,166,4.39863038683173
46,2020,6,15,0,23.3,2.4,94,28,7.875,167,5.06698925126751
47,2020,6,16,0,28.4,7.7,87,27,12.0833333333333,168,5.38447872189833
48,2020,6,17,0,30.8,14.6,77,39,11.5,169,5.16909819833139
49,2020,6,18,0,33.7,19.4,74,30,16.875,170,5.20154718936428
50,2020,6,19,0,33,19.5,62,27,14.7083333333333,171,5.09082531296826
51,2020,6,20,0,29.6,17,90,51,8.75,172,4.79583229627523
52,2020,6,21,0,31.5,13.2,93,40,10.2083333333333,173,5.39266797556812
53,2020,6,22,5.2,29.7,16.7,96,51,8.20833333333333,174,4.83553229627523
54,2020,6,23,0.9,29,16,100,59,7.375,175,4.78932531296826
55,2020,6,24,12,25.8,17.3,99,50,17.9166666666667,176,4.20664718936427
56,2020,6,25,0,18.4,12.5,90,67,19.5,177,3.50819819833139
57,2020,6,26,2.7,20.8,13.9,96,61,11.125,178,3.74507872189833
58,2020,6,27,6.8,20.8,11.3,100,80,4.16666666666667,179,3.95828925126751
59,2020,6,28,0,24,15.5,100,66,4.91666666666667,180,4.08023038683173
60,2020,6,29,0,24.6,16.2,97,63,5.25,181,4.10740283819406
61,2020,6,30,0,27.8,12.8,99,49,6.66666666666667,182,4.85920742419082
62,2020,7,1,0,31,13.8,98,38,7.875,183,5.24534507291739
63,2020,7,2,0,26.3,14.3,98,53,10.5,184,4.50331682175631
64,2020,7,3,0,26.1,11.8,97,33,10.875,185,4.67582381740765
65,2020,7,4,0,25.3,11.2,79,29,12.0416666666667,186,4.60136731592089
66,2020,7,5,0,26.4,11,89,32,9.33333333333333,187,4.7744486827281
67,2020,7,6,0,24.5,7.9,96,36,7.91666666666667,188,4.74376939267784
68,2020,7,7,5.8,19.1,13.3,99,69,10.625,189,3.48913103006924
69,2020,7,8,1.5,26.7,15.7,100,62,5.83333333333333,190,4.40703528868567
70,2020,7,9,0,30,13.7,100,46,5.66666666666667,191,5.05328397182756
71,2020,7,10,0.3,33.9,16.9,99,43,9.875,192,5.35627899234345
72,2020,7,11,10.1,27.9,20.1,99,65,10.8333333333333,193,4.19362237265885
73,2020,7,12,23.4,21.9,18.2,98,82,18.3333333333333,194,3.45381624480201
74,2020,7,13,0,21.5,17.4,91,69,9.70833333333333,195,3.45106285042599
75,2020,7,14,0,23.6,13.9,92,55,6.83333333333333,196,4.04196454082613
76,2020,7,15,0,24,8.8,96,45,10.5416666666667,197,4.51362377695221
77,2020,7,16,3.1,21.7,16.7,96,68,14,198,3.50624312941441
78,2020,7,17,50,22,16.8,99,77,11.125,199,3.53062527848211
79,2020,7,18,0,26.9,16.2,100,45,6.5,200,4.29347301407483
80,2020,7,19,13.8,23.6,16.5,99,84,9.83333333333333,201,3.76758923574421
81,2020,7,20,0,24.1,12.6,98,59,20.75,202,4.15227695264614
82,2020,7,21,0,23,11.3,91,50,13.3333333333333,203,4.08393928350202
83,2020,7,22,2.4,24.6,11.2,95,49,6.375,204,4.31517945654829
84,2020,7,23,0.7,24.5,15,99,46,5.95833333333333,205,3.97070080947298
85,2020,7,24,0,27.6,14.1,91,43,10.6666666666667,206,4.48950678933847
86,2020,7,25,13.6,25.5,15.9,98,57,9.125,207,4.01420095248923
87,2020,7,26,10.3,24.9,18.2,99,80,6.70833333333333,208,3.71898696444358
88,2020,7,27,11.5,25.6,16.8,100,79,6.33333333333333,209,3.9228685997683
89,2020,7,28,1.7,27,17.7,100,54,11.125,210,4.03904974193507
