No,Time,Obs,Fitted,dual,Type,Position
1,1,-38.625,-7.377,-3.12E+01,1,1
2,2,-39,-13.051,-2.59E+01,1,1
3,3,-39,-16.771,-2.22E+01,1,1
4,4,-39.625,-19.691,-1.99E+01,1,1
5,5,-39,-21.949,-1.71E+01,1,1
6,6,-39.75,-23.943,-1.58E+01,1,1
7,7,-40,-25.659,-1.43E+01,1,1
8,8,-40,-27.182,-1.28E+01,1,1
9,9,-40,-28.552,-1.14E+01,1,1
10,10,-32.875,-24.636,-8.24E+00,1,1
11,11,8.375,-13.739,2.21E+01,1,1
12,12,6.25,-9.839,1.61E+01,1,1
13,13,4.125,-4.176,8.30E+00,1,1
14,14,2,-4.207,6.21E+00,1,1
15,15,0.375,-5.44,5.82E+00,1,1
16,16,-0.5,-6.664,6.16E+00,1,1
17,17,-2.375,-7.822,5.45E+00,1,1
18,18,-4.5,-8.98,4.48E+00,1,1
19,19,-6.625,-10.048,3.42E+00,1,1
20,20,-8.5,-11.119,2.62E+00,1,1
21,21,-10.25,-12.215,1.97E+00,1,1
22,22,-11.625,-13.344,1.72E+00,1,1
23,23,-13.25,-14.373,1.12E+00,1,1
24,24,-14.5,-15.433,9.33E-01,1,1
25,25,-16.25,-16.412,1.62E-01,1,1
26,26,-17.5,-17.387,-1.13E-01,1,1
27,27,-19.25,-18.264,-9.86E-01,1,1
28,28,-21.375,-19.166,-2.21E+00,1,1
29,29,-23.125,-20.027,-3.10E+00,1,1
30,30,-24.875,-20.9,-3.98E+00,1,1
31,31,-26.375,-21.798,-4.58E+00,1,1
32,32,-27.5,-22.699,-4.80E+00,1,1
33,33,-28.25,-23.609,-4.64E+00,1,1
34,34,-29,-24.501,-4.50E+00,1,1
35,35,-29.75,-25.38,-4.37E+00,1,1
36,36,-30,-26.234,-3.77E+00,1,1
37,37,-30,-27.028,-2.97E+00,1,1
38,38,-30,-27.78,-2.22E+00,1,1
39,39,-30,-28.492,-1.51E+00,1,1
40,40,-30,-29.162,-8.38E-01,1,1
41,41,-30,-29.805,-1.95E-01,1,1
42,42,-30.625,-30.39,-2.35E-01,1,1
43,43,-31,-30.955,-4.52E-02,1,1
44,44,-31,-31.481,4.81E-01,1,1
45,45,-31,-31.984,9.84E-01,1,1
46,46,-31,-32.475,1.47E+00,1,1
47,47,-31.5,-32.937,1.44E+00,1,1
48,48,-32,-33.384,1.38E+00,1,1
49,49,-32.25,-33.802,1.55E+00,1,1
50,50,-33,-34.201,1.20E+00,1,1
51,51,-33.625,-34.588,9.63E-01,1,1
52,52,-34.5,-34.947,4.47E-01,1,1
53,53,-35,-35.308,3.08E-01,1,1
54,54,-35,-35.661,6.61E-01,1,1
55,55,-35.5,-36.014,5.14E-01,1,1
56,56,-36,-36.367,3.67E-01,1,1
57,57,-36,-36.473,4.73E-01,1,1
58,58,-36,-36.489,4.89E-01,1,1
59,59,-36,-36.568,5.68E-01,1,1
60,60,-36,-36.37,3.70E-01,1,1
61,61,-36,-36.403,4.03E-01,1,1
62,62,-36,-36.79,7.90E-01,1,1
63,63,-36,-37.213,1.21E+00,1,1
64,64,-36,-37.614,1.61E+00,1,1
65,65,-36,-37.994,1.99E+00,1,1
66,66,-36,-38.355,2.36E+00,1,1
67,67,-36,-38.687,2.69E+00,1,1
68,68,-36.25,-39.004,2.75E+00,1,1
69,69,-37,-39.309,2.31E+00,1,1
70,70,-37,-39.609,2.61E+00,1,1
71,71,-37,-39.909,2.91E+00,1,1
72,72,-37,-40.198,3.20E+00,1,1
73,73,-37,-40.482,3.48E+00,1,1
74,74,-37.625,-40.754,3.13E+00,1,1
75,75,-38.25,-41.014,2.76E+00,1,1
76,76,-39,-41.265,2.27E+00,1,1
77,77,-40,-41.503,1.50E+00,1,1
78,78,-40.75,-41.739,9.89E-01,1,1
79,79,-41,-41.969,9.69E-01,1,1
80,80,-41,-42.195,1.19E+00,1,1
81,81,-41,-42.418,1.42E+00,1,1
82,82,-41,-42.634,1.63E+00,1,1
83,83,-41,-42.847,1.85E+00,1,1
84,84,-41,-43.057,2.06E+00,1,1
85,85,-41,-43.266,2.27E+00,1,1
86,86,-41,-43.478,2.48E+00,1,1
87,87,-41,-43.686,2.69E+00,1,1
88,88,-41,-43.891,2.89E+00,1,1
89,89,-40,-44.095,4.09E+00,1,1
90,90,-40,-44.08,4.08E+00,1,1
91,91,-40,-43.522,3.52E+00,1,1
92,92,-40,-42.899,2.90E+00,1,1
93,93,-39.75,-42.451,2.70E+00,1,1
94,94,-38.625,-41.972,3.35E+00,1,1
95,95,-38.875,-42.014,3.14E+00,1,1
96,96,-39,-42.363,3.36E+00,1,1
97,97,-39,-42.75,3.75E+00,1,1
98,98,-39.625,-43.107,3.48E+00,1,1
99,99,-40.375,-43.41,3.04E+00,1,1
100,100,-41.375,-43.671,2.30E+00,1,1
101,101,-42.5,-43.897,1.40E+00,1,1
102,102,-43,-44.09,1.09E+00,1,1
103,103,-43.25,-44.257,1.01E+00,1,1
104,104,-44,-44.407,4.07E-01,1,1
105,105,-44,-44.544,5.44E-01,1,1
106,106,-44,-44.675,6.75E-01,1,1
107,107,-44,-44.8,8.00E-01,1,1
108,108,-43,-44.921,1.92E+00,1,1
109,109,-43,-45.042,2.04E+00,1,1
110,110,-43,-45.163,2.16E+00,1,1
111,111,-43,-45.289,2.29E+00,1,1
112,112,-43,-45.415,2.41E+00,1,1
113,113,-43,-45.542,2.54E+00,1,1
114,114,-42.25,-45.666,3.42E+00,1,1
115,115,-42,-45.787,3.79E+00,1,1
116,116,-42,-45.905,3.90E+00,1,1
117,117,-42,-46.018,4.02E+00,1,1
118,118,-42.5,-46.128,3.63E+00,1,1
119,119,-43,-45.799,2.80E+00,1,1
120,120,-41.125,-44.563,3.44E+00,1,1
121,121,-39,-43.417,4.42E+00,1,1
122,122,-39,-42.773,3.77E+00,1,1
123,123,-39.125,-42.141,3.02E+00,1,1
124,124,-40,-41.603,1.60E+00,1,1
125,125,-40.875,-41.337,4.62E-01,1,1
126,126,-41.125,-41.183,5.79E-02,1,1
127,127,-42,-41.375,-6.25E-01,1,1
128,128,-42.375,-41.603,-7.72E-01,1,1
129,129,-43,-41.809,-1.19E+00,1,1
130,130,-43,-41.994,-1.01E+00,1,1
131,131,-43,-42.163,-8.37E-01,1,1
132,132,-43,-42.326,-6.74E-01,1,1
133,133,-43,-42.481,-5.19E-01,1,1
134,134,-43,-42.631,-3.69E-01,1,1
135,135,-43,-42.775,-2.25E-01,1,1
136,136,-43,-42.918,-8.24E-02,1,1
137,137,-43,-42.071,-9.29E-01,1,1
138,138,-43,-38.903,-4.10E+00,1,1
139,139,-43,-36.489,-6.51E+00,1,1
140,140,-42,-36.098,-5.90E+00,1,1
141,141,-41,-36.468,-4.53E+00,1,1
142,142,-41,-37.174,-3.83E+00,1,1
143,143,-41,-37.805,-3.20E+00,1,1
144,144,-41,-38.335,-2.67E+00,1,1
145,145,-41,-38.75,-2.25E+00,1,1
146,146,-41,-39.091,-1.91E+00,1,1
147,147,-41.75,-39.388,-2.36E+00,1,1
148,148,-42,-39.645,-2.35E+00,1,1
149,149,-42.875,-39.884,-2.99E+00,1,1
150,150,-43,-40.118,-2.88E+00,1,1
151,151,-44,-40.353,-3.65E+00,1,1
152,152,-44,-40.598,-3.40E+00,1,1
153,153,-44,-40.86,-3.14E+00,1,1
154,154,-44,-41.139,-2.86E+00,1,1
155,155,-44,-41.08,-2.92E+00,1,1
156,156,-44,-40.433,-3.57E+00,1,1
157,157,-44,-39.726,-4.27E+00,1,1
158,158,-44,-38.307,-5.69E+00,1,1
159,159,-43.25,-36.694,-6.56E+00,1,1
160,160,-43,-36.395,-6.60E+00,1,1
161,161,-42.375,-36.702,-5.67E+00,1,1
162,162,-41.5,-37.173,-4.33E+00,1,1
163,163,-41,-37.904,-3.10E+00,1,1
164,164,-41,-38.586,-2.41E+00,1,1
165,165,-41,-39.183,-1.82E+00,1,1
166,166,-40.625,-39.69,-9.35E-01,1,1
167,167,-41,-40.138,-8.62E-01,1,1
168,168,-41,-40.533,-4.67E-01,1,1
169,169,-41,-40.892,-1.08E-01,1,1
170,170,-41.75,-41.228,-5.22E-01,1,1
171,171,-42.5,-41.547,-9.53E-01,1,1
172,172,-43.625,-41.858,-1.77E+00,1,1
173,173,-44.75,-42.155,-2.60E+00,1,1
174,174,-45.5,-42.455,-3.05E+00,1,1
175,175,-46,-42.757,-3.24E+00,1,1
176,176,-46,-43.063,-2.94E+00,1,1
177,177,-46,-43.376,-2.62E+00,1,1
178,178,-46,-43.686,-2.31E+00,1,1
179,179,-46,-43.998,-2.00E+00,1,1
180,180,-46,-44.307,-1.69E+00,1,1
181,181,-45.75,-44.614,-1.14E+00,1,1
182,182,-45,-44.922,-7.81E-02,1,1
183,183,-45,-45.218,2.18E-01,1,1
184,184,-45,-45.515,5.15E-01,1,1
185,185,-45,-45.801,8.01E-01,1,1
186,186,-45,-46.074,1.07E+00,1,1
