Y,X,Cu,Ni,Zn,Mn,Fe,Pb
5001641.546,341402.848,20.5,34,87.5,519.5,36592.5,20
5001459.396,341495.743,20.5,17.5,67.5,448,25151,18.5
5001448.916,341366.788,27.5,36,108,483.5,38553.5,24
5001622.488,341706.692,24.5,16,84.5,462,26354.5,19.5
5001646.785,341431.866,22,36,116.5,540,35848,22.5
5001567.764,341491.3449,18,27,89.5,510.5,32183,20.5
5001575.177,341404.2849,21.5,31,110,540.5,37570.5,23.5
5001663.394,341451.621,30.5,37,106,591.5,36408.5,20.5
5001589.949,341521.353,17.5,18.5,61,370,22847,20
5001559.178,341548.071,17,19.5,67,421.5,23919,21.5
5001439.099,341458.865,23.5,30,77.5,531.5,30620.5,22
5001563.826,341438.061,20.5,33.5,107.5,669,39984,22.5
5001665.426,341574.842,19.5,22,65,447,25140,18.5
5001603.638,341683.321,22,20,89.5,577.5,28182,22
5001597.185,341459.138,24,32,99.5,508,34460,23
5001567.531,341469.696,23.5,24.5,100,599.5,36408.5,22
5001584.564,341628.401,12.5,9,65,438,27837.5,16.5
5001479.58,341473.08,20,11,74,420.5,24780,18.5
5001518.599,341361.963,28.5,36,108.5,518,35954.5,21.5
5001649.402,341634.516,17,19,67,464,23290,18
5001554.273,341384.67,32.5,30,117,485.5,38196.5,20.5
5001653.68,341741.5349,15.5,18,71,479,25146.5,23.5
5001519.186,341407.3989,24,34,111.5,437,34585.5,20.5
5001614.544,341407.583,23,27,112.5,478,34868.5,22
5001609.114,341380.657,26,37.5,116.5,491,38470,22
5001529.434,341708.4479,20.5,11.0497,85,464,28147.5,17.5
5001563.522,341666.252,15.5,19,63.5,443,24400.5,19
5001647.087,341524.5949,20.5,22,71.5,492,26043.5,20
5001520.992,341643.7,19.5,8,76,383,24576.5,18
5001476.209,341721.163,19.5,10,82.5,514.5,27109,19.5
5001461.452,341692.4589,25,9.5,86,424,27156.5,20
5001591.208,341492.908,21,20.5,100,635,37456,22.5
5001592.246,341428.253,20,27.5,103.5,735.5,39195.5,22
5001465.709,341447.461,19,23,65,422,25680.5,19.5
5001481.989,341393.0239,31.5,34,124.5,504.5,37125.5,20
5001578.969,341604.147,15,8.223117388,61,367.5,21678,17.5
5001526.899,341599.495,20.5,10,61.5,371,20630.5,19
5001592.978,341568.8339,14,17,53.5,294.5,18996.5,18
5001532.17,341449.8339,18,32.5,98.5,543.5,34562.5,23
5001433.548,341402.292,30,26.5,100,514.5,32541.5,19.5
5001504.855,341606.189,16.5,8.153045054,59.5,308.5,21457,17
5001489.504,341568.763,15,10.0007241,65,373,22982.5,18
5001548.72,341642.656,21.5,5.948349576,70.5,398,22459,18
5001448.231,341425.648,18,19,80.5,404.5,25923,17.5
5001524.478,341561.523,17.5,12,64,347,24154,17.5
5001612.264,341475.43,18,27.5,91,519.5,32091,20.5
5001549.082,341732.643,17,11,74.5,428,27904,16.5
5001630.749,341358.8351,29.5,40.5,109.5,621.5,39775,21.5
5001458.519,341521.395,20.5,20,67,424.5,24547.5,18
5001484.089,341360.1214,29.5,31.5,116,459.5,36561.5,19
5001654.152,341604.5,15,16,61.5,418.5,22806.5,17.5
5001461.584,341571.604,23.5,20,69.5,475,23924,16.5
5001626.413,341589.0349,15.5,17.5,62,380.5,21252.5,20
5001657.267,341692.605,21.5,19.5,76.5,540.5,28037,19
5001540.413,341424.061,29,27,106,585,35710,20
5001482.432,341598.869,14.5,16.5,64,440,24153,17.5
5001634.059,341669.873,17,11,70,365,22223,20
5001436.257,341331.4972,25,37,105,580.5,40708.5,21.5
5001521.499,341524.079,20.5,21,63.5,357,21278,19
5001478.574,341747.71,17.5,11,91,530.5,30470,21
5001488.569,341636.485,18,18.5,72.5,459,29857,16
5001541.686,341359.245,27.5,38.5,112.5,586,40419,18
5001601.755,341662.267,19.5,19,77.5,447.5,25083.5,19
5001603.859,341542.754,20,17.5,69,360,23454.5,18.5
5001649.427,341573.303,21.5,19,61,378,22720,19
5001626.834,341447.857,22.5,33.5,113,485.5,35517.5,24
5001479.833,341536.143,22,12,76.5,447.5,29790,17
5001582.995,341373.567,23.5,39,115,510.5,41116.5,20.5
5001460.569,341616.202,8.5,6.156809833,55.5,356.5,19108,17
5001628.516,341480.485,21.5,26,96.5,470,33160,22.5
5001585.527,341739.33,21,21,79.5,483,26517.5,18.5
5001553.843,341619.119,14,14.83808914,57,504.5,31928.5,19
5001506.285,341676.371,14,19.5,79,480,27219.5,20
5001431.868,341621.733,19.5,22,73,480,27929,18.5
5001431.417,341513.178,17.5,21.5,62,487,24563,19
5001642.507,341722.512,21.5,17,84.5,480,27727,19.5
5001627.546,341514.405,21.5,20.5,84.5,447.5,27322,21.5
5001501.251,341498.42,28.5,26,63.5,428,25823,19
5001622.029,341576.318,16.5,19,65,424,21581.5,17
5001618.17,341743.217,22,11.29077456,74.5,464,25652,21
5001438.301,341667.667,17,10.5,71.5,479.5,25370.5,19
5001665.962,341515.21,19.5,21.5,80,441,28898,20
5001673.245,341719.8829,23.5,21,77.5,565,26783,18.5
5001565.995,341699.505,16,12,67,366,25029.5,19.5
5001547.155,341523.005,15,6.278255666,55,307.5,18409,17.5
5001612.649,341622.081,17.5,10.34884796,62,408.5,23811.5,17
5001540.939,341493.7689,17.5,13.5,78.5,456.5,28889.5,21
5001488.297,341695.354,15.5,8.5,78,411,25590,21.5
5001436.916,341569.097,19.5,17.5,64,469,25008,20.5
5001661.019,341387.953,23.5,33.5,91.5,557,39928.5,20
5001489.793,341425.237,21,25,99,472.5,32393.5,20
5001505.83,341381.415,26.5,28,115.5,464,34649,24
5001487.253,341671.675,17.5,17.5,76,424.5,24401,19.5
5001553.813,341587.803,13,9.5,51,353,19764.5,17.5
5001657.19,341661.728,25,20.5,68.5,577,30578,19
5001513.761,341462.089,21.5,19,82,422,28579,18
5001538.632,341672.531,23.5,11.5,65,510,30102.5,17
5001451.566,341648.172,18,9.162437173,59.5,446.5,22620.5,18.5
5001647.671,341473.355,21.5,32,97.5,541.5,32780,23
5001492.979,341731.928,25,25.5,95,493,29890.5,19.5
