station_name,date,time,year,month,day,hour,precip_amt,pressure,rel_hum,temp,temp_dew,wind_dir,wind_spd
NORMANDIN,2020-05-01,2020-05-01 0:00,2020,5,1,0:00,0,99.09,97,4.5,4.2,12,15
NORMANDIN,2020-05-01,2020-05-01 1:00,2020,5,1,1:00,0,99.01,98,4.5,4.2,12,10
NORMANDIN,2020-05-01,2020-05-01 2:00,2020,5,1,2:00,0.2,98.96,96,4.4,3.8,15,17
NORMANDIN,2020-05-01,2020-05-01 3:00,2020,5,1,3:00,0.6,98.88,98,4.4,4.1,11,10
NORMANDIN,2020-05-01,2020-05-01 4:00,2020,5,1,4:00,1,98.84,99,3.9,3.7,12,12
NORMANDIN,2020-05-01,2020-05-01 5:00,2020,5,1,5:00,1,98.79,99,3.7,3.5,13,18
NORMANDIN,2020-05-01,2020-05-01 6:00,2020,5,1,6:00,1.8,98.75,100,2.8,2.7,14,13
NORMANDIN,2020-05-01,2020-05-01 7:00,2020,5,1,7:00,1.7,98.75,100,2.7,2.7,15,10
NORMANDIN,2020-05-01,2020-05-01 8:00,2020,5,1,8:00,2.2,98.75,100,3,3,15,7
NORMANDIN,2020-05-01,2020-05-01 9:00,2020,5,1,9:00,1.2,98.75,100,3.7,3.7,17,4
NORMANDIN,2020-05-01,2020-05-01 10:00,2020,5,1,10:00,0.6,98.74,99,4.5,4.4,18,3
NORMANDIN,2020-05-01,2020-05-01 11:00,2020,5,1,11:00,0.5,98.76,98,5.5,5.1,25,3
NORMANDIN,2020-05-01,2020-05-01 12:00,2020,5,1,12:00,0.2,98.76,89,5.4,3.8,30,21
NORMANDIN,2020-05-01,2020-05-01 13:00,2020,5,1,13:00,0,98.89,90,4.1,2.6,30,17
NORMANDIN,2020-05-01,2020-05-01 14:00,2020,5,1,14:00,0.5,98.95,90,4.2,2.7,31,21
NORMANDIN,2020-05-01,2020-05-01 15:00,2020,5,1,15:00,0,98.97,88,5.7,3.8,30,11
NORMANDIN,2020-05-01,2020-05-01 16:00,2020,5,1,16:00,0,98.99,84,5.8,3.3,31,14
NORMANDIN,2020-05-01,2020-05-01 17:00,2020,5,1,17:00,0,99.03,86,5.5,3.3,31,12
NORMANDIN,2020-05-01,2020-05-01 18:00,2020,5,1,18:00,0,99.02,86,5.1,2.9,31,13
NORMANDIN,2020-05-01,2020-05-01 19:00,2020,5,1,19:00,0,99.01,88,4.6,2.7,30,11
NORMANDIN,2020-05-01,2020-05-01 20:00,2020,5,1,20:00,0,99.06,93,3.3,2.2,29,9
NORMANDIN,2020-05-01,2020-05-01 21:00,2020,5,1,21:00,0,99.09,94,3.1,2.3,31,6
NORMANDIN,2020-05-01,2020-05-01 22:00,2020,5,1,22:00,0,99.12,89,3.6,2,30,10
NORMANDIN,2020-05-01,2020-05-01 23:00,2020,5,1,23:00,0,99.17,88,3.3,1.5,30,11
NORMANDIN,2020-05-02,2020-05-02 0:00,2020,5,2,0:00,0,99.18,85,3.8,1.4,31,14
NORMANDIN,2020-05-02,2020-05-02 1:00,2020,5,2,1:00,0,99.19,83,3.5,0.9,31,13
NORMANDIN,2020-05-02,2020-05-02 2:00,2020,5,2,2:00,0,99.2,87,2.3,0.4,30,13
NORMANDIN,2020-05-02,2020-05-02 3:00,2020,5,2,3:00,0,99.25,87,2.2,0.3,30,15
NORMANDIN,2020-05-02,2020-05-02 4:00,2020,5,2,4:00,0,99.28,87,2,0,30,9
NORMANDIN,2020-05-02,2020-05-02 5:00,2020,5,2,5:00,0,99.32,89,1.6,0,30,8
NORMANDIN,2020-05-02,2020-05-02 6:00,2020,5,2,6:00,0,99.37,83,3,0.4,29,10
NORMANDIN,2020-05-02,2020-05-02 7:00,2020,5,2,7:00,0,99.39,80,4.6,1.5,30,10
NORMANDIN,2020-05-02,2020-05-02 8:00,2020,5,2,8:00,0,99.38,73,6.6,2.1,31,6
NORMANDIN,2020-05-02,2020-05-02 9:00,2020,5,2,9:00,0,99.35,62,8.1,1.3,33,5
NORMANDIN,2020-05-02,2020-05-02 10:00,2020,5,2,10:00,0,99.3,55,9.8,1.1,31,5
NORMANDIN,2020-05-02,2020-05-02 11:00,2020,5,2,11:00,0,99.23,46,11.2,-0.1,30,11
NORMANDIN,2020-05-02,2020-05-02 12:00,2020,5,2,12:00,0,99.16,44,11.5,-0.5,31,17
NORMANDIN,2020-05-02,2020-05-02 13:00,2020,5,2,13:00,0,99.11,44,11.8,-0.1,31,18
NORMANDIN,2020-05-02,2020-05-02 14:00,2020,5,2,14:00,0,99.07,39,12.7,-1,29,16
NORMANDIN,2020-05-02,2020-05-02 15:00,2020,5,2,15:00,0,99.02,39,12.7,-0.9,32,16
NORMANDIN,2020-05-02,2020-05-02 16:00,2020,5,2,16:00,0,98.99,40,12.9,-0.4,31,14
NORMANDIN,2020-05-02,2020-05-02 17:00,2020,5,2,17:00,0,98.97,40,12.3,-0.9,32,13
NORMANDIN,2020-05-02,2020-05-02 18:00,2020,5,2,18:00,0,98.95,44,10.2,-1.4,31,13
NORMANDIN,2020-05-02,2020-05-02 19:00,2020,5,2,19:00,0,98.95,56,7.1,-1.1,32,9
NORMANDIN,2020-05-02,2020-05-02 20:00,2020,5,2,20:00,0,98.98,73,3.4,-0.9,32,7
NORMANDIN,2020-05-02,2020-05-02 21:00,2020,5,2,21:00,0,98.98,70,3.3,-1.7,21,7
NORMANDIN,2020-05-02,2020-05-02 22:00,2020,5,2,22:00,0,98.93,73,2.8,-1.6,30,6
NORMANDIN,2020-05-02,2020-05-02 23:00,2020,5,2,23:00,0,98.9,73,2.2,-2.1,30,11
NORMANDIN,2020-05-03,2020-05-03 0:00,2020,5,3,0:00,0,98.87,79,1,-2.2,31,12
NORMANDIN,2020-05-03,2020-05-03 1:00,2020,5,3,1:00,0,98.83,79,1.2,-2,33,12
NORMANDIN,2020-05-03,2020-05-03 2:00,2020,5,3,2:00,0,98.77,79,1.2,-2.1,34,10
NORMANDIN,2020-05-03,2020-05-03 3:00,2020,5,3,3:00,0,98.74,82,0.9,-1.8,34,2
NORMANDIN,2020-05-03,2020-05-03 4:00,2020,5,3,4:00,0,98.71,83,0.9,-1.7,36,3
NORMANDIN,2020-05-03,2020-05-03 5:00,2020,5,3,5:00,0,98.73,76,1.4,-2.4,33,6
NORMANDIN,2020-05-03,2020-05-03 6:00,2020,5,3,6:00,0,98.74,74,2,-2,1,4
NORMANDIN,2020-05-03,2020-05-03 7:00,2020,5,3,7:00,0,98.72,76,2.4,-1.4,5,4
NORMANDIN,2020-05-03,2020-05-03 8:00,2020,5,3,8:00,0,98.7,83,2.4,-0.1,7,3
NORMANDIN,2020-05-03,2020-05-03 9:00,2020,5,3,9:00,0,98.66,87,2.6,0.6,8,4
NORMANDIN,2020-05-03,2020-05-03 10:00,2020,5,3,10:00,0.3,98.61,89,3,1.3,10,7
NORMANDIN,2020-05-03,2020-05-03 11:00,2020,5,3,11:00,0.5,98.56,93,3.4,2.3,11,5
NORMANDIN,2020-05-03,2020-05-03 12:00,2020,5,3,12:00,0.6,98.52,94,3.7,2.8,12,3
NORMANDIN,2020-05-03,2020-05-03 13:00,2020,5,3,13:00,0.5,98.47,95,4.1,3.3,30,3
NORMANDIN,2020-05-03,2020-05-03 14:00,2020,5,3,14:00,0.8,98.43,96,4.4,3.8,26,4
NORMANDIN,2020-05-03,2020-05-03 15:00,2020,5,3,15:00,1.2,98.41,97,4.8,4.3,29,5
NORMANDIN,2020-05-03,2020-05-03 16:00,2020,5,3,16:00,0.3,98.41,96,5.2,4.7,28,9
NORMANDIN,2020-05-03,2020-05-03 17:00,2020,5,3,17:00,0,98.41,96,5.8,5.3,31,5
NORMANDIN,2020-05-03,2020-05-03 18:00,2020,5,3,18:00,0,98.41,96,5.9,5.3,29,6
NORMANDIN,2020-05-03,2020-05-03 19:00,2020,5,3,19:00,0,98.42,98,5.2,4.9,28,8
NORMANDIN,2020-05-03,2020-05-03 20:00,2020,5,3,20:00,0,98.45,99,5,4.8,31,8
NORMANDIN,2020-05-03,2020-05-03 21:00,2020,5,3,21:00,0,98.43,95,5.2,4.5,36,15
NORMANDIN,2020-05-03,2020-05-03 22:00,2020,5,3,22:00,0,98.46,95,4.7,4.1,35,12
NORMANDIN,2020-05-03,2020-05-03 23:00,2020,5,3,23:00,0,98.46,95,4.4,3.7,34,11
NORMANDIN,2020-05-04,2020-05-04 0:00,2020,5,4,0:00,0,98.47,95,4.2,3.5,33,14
NORMANDIN,2020-05-04,2020-05-04 1:00,2020,5,4,1:00,0,98.48,94,4,3.2,33,12
NORMANDIN,2020-05-04,2020-05-04 2:00,2020,5,4,2:00,0.2,98.5,95,3.9,3.1,32,12
NORMANDIN,2020-05-04,2020-05-04 3:00,2020,5,4,3:00,0,98.52,92,3.4,2.2,31,15
NORMANDIN,2020-05-04,2020-05-04 4:00,2020,5,4,4:00,0,98.56,89,2.8,1.2,32,17
NORMANDIN,2020-05-04,2020-05-04 5:00,2020,5,4,5:00,0,98.61,88,2.6,0.9,32,16
NORMANDIN,2020-05-04,2020-05-04 6:00,2020,5,4,6:00,0,98.67,86,2.8,0.6,32,19
NORMANDIN,2020-05-04,2020-05-04 7:00,2020,5,4,7:00,0,98.72,83,3.3,0.7,31,21
NORMANDIN,2020-05-04,2020-05-04 8:00,2020,5,4,8:00,0,98.74,81,4,1,32,19
NORMANDIN,2020-05-04,2020-05-04 9:00,2020,5,4,9:00,0,98.77,77,4.8,1.1,33,23
NORMANDIN,2020-05-04,2020-05-04 10:00,2020,5,4,10:00,0,98.8,70,5.5,0.5,33,26
NORMANDIN,2020-05-04,2020-05-04 11:00,2020,5,4,11:00,0,98.82,64,6.5,0.2,33,27
NORMANDIN,2020-05-04,2020-05-04 12:00,2020,5,4,12:00,0,98.84,60,7.3,0.1,33,25
NORMANDIN,2020-05-04,2020-05-04 13:00,2020,5,4,13:00,0,98.89,57,7,-0.8,33,24
NORMANDIN,2020-05-04,2020-05-04 14:00,2020,5,4,14:00,0,98.95,64,6.5,0.1,33,25
NORMANDIN,2020-05-04,2020-05-04 15:00,2020,5,4,15:00,0,98.98,67,6.2,0.5,33,23
NORMANDIN,2020-05-04,2020-05-04 16:00,2020,5,4,16:00,0,99.01,67,6.2,0.5,33,14
NORMANDIN,2020-05-04,2020-05-04 17:00,2020,5,4,17:00,0,99.07,69,5.5,0.3,34,26
NORMANDIN,2020-05-04,2020-05-04 18:00,2020,5,4,18:00,0,99.14,72,4.6,0,33,26
NORMANDIN,2020-05-04,2020-05-04 19:00,2020,5,4,19:00,0,99.22,72,3.8,-0.7,32,24
NORMANDIN,2020-05-04,2020-05-04 20:00,2020,5,4,20:00,0,99.26,75,3.4,-0.7,34,26
NORMANDIN,2020-05-04,2020-05-04 21:00,2020,5,4,21:00,0,99.27,81,2.3,-0.6,31,23
NORMANDIN,2020-05-04,2020-05-04 22:00,2020,5,4,22:00,0,99.24,76,2.4,-1.4,31,23
NORMANDIN,2020-05-04,2020-05-04 23:00,2020,5,4,23:00,0,99.26,73,2.3,-2,32,23
NORMANDIN,2020-05-05,2020-05-05 0:00,2020,5,5,0:00,0,99.3,74,2,-2.1,32,23
NORMANDIN,2020-05-05,2020-05-05 1:00,2020,5,5,1:00,0,99.3,81,1.3,-1.7,32,21
NORMANDIN,2020-05-05,2020-05-05 2:00,2020,5,5,2:00,0,99.32,89,0.4,-1.1,32,18
NORMANDIN,2020-05-05,2020-05-05 3:00,2020,5,5,3:00,0,99.32,90,0,-1.4,31,23
NORMANDIN,2020-05-05,2020-05-05 4:00,2020,5,5,4:00,0,99.34,89,-0.2,-1.8,32,21
NORMANDIN,2020-05-05,2020-05-05 5:00,2020,5,5,5:00,0,99.4,86,-0.1,-2.1,32,21
NORMANDIN,2020-05-05,2020-05-05 6:00,2020,5,5,6:00,0,99.44,83,0.2,-2.2,32,21
NORMANDIN,2020-05-05,2020-05-05 7:00,2020,5,5,7:00,0,99.49,77,1,-2.6,32,23
NORMANDIN,2020-05-05,2020-05-05 8:00,2020,5,5,8:00,0,99.52,78,1.3,-2,33,23
NORMANDIN,2020-05-05,2020-05-05 9:00,2020,5,5,9:00,0,99.54,81,2.4,-0.5,31,21
NORMANDIN,2020-05-05,2020-05-05 10:00,2020,5,5,10:00,0,99.51,73,4.4,-0.1,31,19
NORMANDIN,2020-05-05,2020-05-05 11:00,2020,5,5,11:00,0,99.46,60,6.3,-0.8,33,16
NORMANDIN,2020-05-05,2020-05-05 12:00,2020,5,5,12:00,0,99.43,57,8.1,0.2,34,15
NORMANDIN,2020-05-05,2020-05-05 13:00,2020,5,5,13:00,0,99.42,54,9,0.3,32,15
NORMANDIN,2020-05-05,2020-05-05 14:00,2020,5,5,14:00,0,99.4,48,9.4,-1,33,14
NORMANDIN,2020-05-05,2020-05-05 15:00,2020,5,5,15:00,0,99.39,49,10.1,-0.2,33,16
NORMANDIN,2020-05-05,2020-05-05 16:00,2020,5,5,16:00,0,99.41,51,9.9,0.2,33,17
NORMANDIN,2020-05-05,2020-05-05 17:00,2020,5,5,17:00,0,99.45,55,7.7,-0.7,34,15
