Observed,Simulated,,,,
-50.375,-21.046,,,,
-51,-31.058,,,,
-51,-37.359,,,,
-52,-41.837,,,,
-52,-45.02,,,,
-53,-47.551,,,,
-53,-49.567,,,,
-53,-51.188,,,,
-52.875,-52.534,,,,
-52,-53.602,,,,
-52,-54.489,,,,
-52,-55.222,,,,
-52,-55.85,,,,
-52,-56.352,,,,
-52,-56.773,,,,
-52,-57.124,,,,
-52,-57.428,,,,
-52,-57.673,,,,
-52,-57.878,,,,
-52,-58.051,,,,
-52,-55.315,,,,
-51.875,-49.89,,,,
-50,-52.665,,,,
-50,-53.694,,,,
-50,-54.5,,,,
-50,-55.2,,,,
-50.625,-55.781,,,,
-51,-56.28,,,,
-52,-56.719,,,,
-52,-57.071,,,,
-52,-57.37,,,,
-52,-57.622,,,,
-52,-57.843,,,,
-52,-58.02,,,,
-52,-58.169,,,,
-52,-58.294,,,,
-52,-58.402,,,,
-52,-58.489,,,,
-52,-58.563,,,,
-52,-58.624,,,,
-52,-58.677,,,,
-52,-58.72,,,,
-52,-58.756,,,,
-52.25,-58.787,,,,
-52.875,-56.856,,,,
-53,-54.712,,,,
-52,-55.986,,,,
-51.125,-56.469,,,,
-51,-56.836,,,,
-51,-57.156,,,,
-51.75,-57.427,,,,
-51.75,-56.724,,,,
-52,-57.278,,,,
-52,-57.562,,,,
-52.375,-57.781,,,,
-53,-57.967,,,,
-53,-58.12,,,,
-53,-58.252,,,,
-53,-58.362,,,,
-53,-58.455,,,,
-53,-58.533,,,,
-53,-58.6,,,,
-53,-58.655,,,,
-53,-58.702,,,,
-53,-58.741,,,,
-53,-58.775,,,,
-53,-58.802,,,,
-53,-58.825,,,,
-53,-54.953,,,,
-53.25,-53.546,,,,
-50.25,-55.007,,,,
-50,-55.631,,,,
-50,-56.13,,,,
-51,-56.564,,,,
-51.75,-56.941,,,,
-52.625,-57.252,,,,
-53.25,-57.518,,,,
-54,-57.753,,,,
-54,-57.943,,,,
-54,-58.103,,,,
-54,-58.238,,,,
-54,-58.356,,,,
-54,-58.451,,,,
-54,-58.53,,,,
-54,-58.597,,,,
-54,-58.654,,,,
-54,-58.701,,,,
-54,-58.74,,,,
-54,-58.773,,,,
-54,-58.802,,,,
-54,-58.825,,,,
-54,-58.845,,,,
-54,-53.583,,,,
-53.625,-49.512,,,,
-50.25,-52.233,,,,
-50,-53.312,,,,
-50.25,-54.182,,,,
-51,-54.939,,,,
-52,-55.562,,,,
-52,-56.096,,,,
-52.5,-56.549,,,,
-53,-56.466,,,,
-53,-51.332,,,,
-52.75,-53.253,,,,
-52,-54.309,,,,
-52,-55.035,,,,
-52,-55.656,,,,
-51.875,-48.76,,,,
-47.5,-48.216,,,,
-44,-49.61,,,,
-44,-50.859,,,,
-44,-51.49,,,,
-44,-51.868,,,,
-44.625,-52.119,,,,
-45,-52.296,,,,
-45.625,-52.424,,,,
-46,-52.525,,,,
-46.375,-52.604,,,,
-47,-52.67,,,,
-47.25,-52.759,,,,
-48,-52.856,,,,
-48.5,-52.985,,,,
-49.125,-53.14,,,,
-50,-53.334,,,,
-50.75,-53.549,,,,
-51,-53.794,,,,
-52,-54.042,,,,
-52,-54.297,,,,
-52,-54.575,,,,
-52,-54.879,,,,
-52,-55.183,,,,
-52,-55.486,,,,
-52,-55.805,,,,
-52.625,-56.112,,,,
-53,-56.396,,,,
-53,-56.651,,,,
-53,-56.929,,,,
-53,-57.203,,,,
-53,-57.463,,,,
-53.75,-55.311,,,,
-53.75,-49.394,,,,
-50.25,-52.317,,,,
-50,-53.402,,,,
-50,-54.183,,,,
-50.75,-54.814,,,,
-51.5,-55.32,,,,
-52.5,-55.756,,,,
-53.5,-56.112,,,,
-54,-56.459,,,,
-55,-56.799,,,,
-55,-57.114,,,,
-55,-57.389,,,,
-55,-57.629,,,,
-55,-57.834,,,,
-55,-58.01,,,,
-55,-58.159,,,,
-55,-58.284,,,,
-55,-58.39,,,,
-55,-58.479,,,,
-55,-58.555,,,,
-55,-58.617,,,,
-55,-58.67,,,,
-55,-58.714,,,,
-55,-58.752,,,,
-55,-51.11,,,,
-51.375,-46.741,,,,
-40.875,-50.108,,,,
-44.375,-50.585,,,,
-46.25,-51.84,,,,
-47.75,-52.606,,,,
-49.375,-53.205,,,,
-50.625,-53.693,,,,
-51.375,-54.097,,,,
-52.25,-54.493,,,,
-53,-54.896,,,,
-53,-55.314,,,,
-54,-55.702,,,,
-54,-56.048,,,,
-54,-56.377,,,,
-54,-56.718,,,,
-54,-57.036,,,,
-54,-57.321,,,,
-54,-57.57,,,,
-54,-57.791,,,,
-54,-57.973,,,,
-54,-58.127,,,,
-54,-58.257,,,,
-54,-53.121,,,,
-51,-45.126,,,,
-37.375,-45.26,,,,
-33.5,-47.717,,,,
-36.25,-48.512,,,,
-38.5,-48.732,,,,
-40.125,-48.764,,,,
-41.5,-48.766,,,,
-42.75,-48.805,,,,
-44,-48.906,,,,
-45,-49.088,,,,
-46,-49.333,,,,
-46.75,-49.587,,,,
-47,-49.836,,,,
-47,-50.085,,,,
-47.875,-50.333,,,,
-48,-50.579,,,,
-48,-50.803,,,,
-48,-51.039,,,,
-48.375,-51.302,,,,
-48.875,-51.557,,,,
-49,-51.789,,,,
-49,-37.132,,,,
-38.875,-35.776,,,,
-33.875,-38.608,,,,
-35.375,-39.59,,,,
-36.375,-39.842,,,,
-37.125,-37.864,,,,
-36.375,-36.75,,,,
-33.125,-37.423,,,,
-34.125,-38.578,,,,
-35.5,-38.512,,,,
-36.625,-39.379,,,,
-37.875,-39.236,,,,
-38.5,-39.322,,,,
-39.25,-40.348,,,,
-40,-41.158,,,,
-40.75,-41.873,,,,
-41,-42.608,,,,
-42,-43.273,,,,
-42,-43.923,,,,
-42.75,-44.541,,,,
-43,-45.021,,,,
-43,-45.507,,,,
-43.625,-45.949,,,,
-44,-46.409,,,,
-44,-46.839,,,,
-44.5,-47.219,,,,
-45,-47.632,,,,
-45,-48.037,,,,
-45,-48.442,,,,
-45.75,-48.843,,,,
-46,-49.202,,,,
-46.75,-49.541,,,,
-47.5,-49.893,,,,
-48,-50.247,,,,
-48.5,-50.609,,,,
-49,-50.972,,,,
-49,-51.295,,,,
-49,-51.595,,,,
-49.5,-51.921,,,,
-50,-52.238,,,,
-50,-52.57,,,,
-50,-52.911,,,,
-50,-53.225,,,,
-50,-53.506,,,,
-50,-53.816,,,,
-50,-54.126,,,,
-50,-54.406,,,,
-50,-54.652,,,,
-50,-54.896,,,,
-50.5,-55.161,,,,
-51,-55.417,,,,
-51,-55.65,,,,
-51,-55.873,,,,
-48.75,-56.107,,,,
-44.625,-56.349,,,,
-44,-56.562,,,,
-44,-56.761,,,,
-44.875,-56.938,,,,
-45.5,-57.125,,,,
-46.25,-57.339,,,,
-47,-57.558,,,,
-47.75,-57.758,,,,
-48,-57.937,,,,
-48.125,-58.091,,,,
-49,-58.229,,,,
-49,-58.341,,,,
-49,-58.437,,,,
-49,-58.518,,,,
-49,-58.588,,,,
-49,-58.645,,,,
-49,-58.693,,,,
-49.875,-58.734,,,,
-50,-58.769,,,,
-50,-58.797,,,,
-50,-55.913,,,,
-48.125,-47.639,,,,
-42.75,-48.639,,,,
-43,-50.624,,,,
-43,-51.358,,,,
-43.75,-51.566,,,,
-44.5,-51.588,,,,
-45.5,-51.562,,,,
-46.625,-51.579,,,,
-47.25,-51.64,,,,
-48,-51.772,,,,
-48,-51.976,,,,
-49,-52.209,,,,
-49,-52.453,,,,
-49,-52.688,,,,
-49,-52.965,,,,
-49,-53.25,,,,
-49,-53.513,,,,
-49,-53.748,,,,
-49,-54,,,,
-49,-54.266,,,,
-49.75,-54.516,,,,
-50,-54.739,,,,
-50,-54.933,,,,
-50,-55.149,,,,
-50,-53.528,,,,
-43.25,-54.356,,,,
-39.125,-54.501,,,,
-39.375,-54.29,,,,
-40.25,-53.867,,,,
-41.25,-53.343,,,,
-42.125,-52.841,,,,
-43,-52.46,,,,
-44,-52.167,,,,
-44,-51.936,,,,
-45,-34.926,,,,
-30.625,-34.1,,,,
-24.5,-33.993,,,,
-25.25,-34.361,,,,
-26.25,-33.858,,,,
-27,-34.151,,,,
-27.5,-34.735,,,,
-28.5,-35.575,,,,
-29.5,-36.184,,,,
-30.625,-36.731,,,,
-31.375,-37.229,,,,
-32.25,-37.686,,,,
-33,-38.126,,,,
-33.75,-38.505,,,,
-34.25,-38.916,,,,
-35,-39.347,,,,
-35.375,-39.9,,,,
-36,-40.377,,,,
